,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
1139,11293,Serge Aurier,Defender,6305.0,2.0,1.0,4.0,1.0,8.0
1117,4218,Antolín Alcaraz,Defender,6916.0,2.0,3.0,2.0,1.0,8.0
964,3820,Phil Jones,Defender,15866.0,0.0,1.0,5.0,2.0,8.0
1822,3821,Steven Nzonzi,Midfielder,16469.0,3.0,1.0,3.0,0.0,7.0
1169,5668,Miguel Britos,Defender,5342.0,3.0,3.0,1.0,0.0,7.0
762,4600,Paulo Gazzaniga,Goalkeeper,3804.0,0.0,6.0,1.0,0.0,7.0
935,1230,Aaron Hughes,Defender,17250.0,0.0,5.0,0.0,2.0,7.0
1008,11347,Cédric Soares,Defender,12570.0,0.0,6.0,1.0,0.0,7.0
1878,3920,Paul Pogba,Midfielder,12290.0,2.0,1.0,4.0,0.0,7.0
1316,3739,Leon Barnett,Defender,2701.0,1.0,3.0,2.0,1.0,7.0
958,4608,Luke Shaw,Defender,16581.0,1.0,2.0,3.0,1.0,7.0
2009,4721,Leandro Bacuna,Midfielder,6547.0,0.0,5.0,2.0,0.0,7.0
1082,19605,Christian Kabasele,Defender,8128.0,3.0,0.0,3.0,1.0,7.0
1791,3979,James McCarthy,Midfielder,20913.0,1.0,1.0,4.0,1.0,7.0
722,1359,Chris Kirkland,Goalkeeper,9230.0,0.0,6.0,1.0,0.0,7.0
960,8143,James Tarkowski,Defender,16200.0,0.0,4.0,2.0,1.0,7.0
714,4573,Alex McCarthy,Goalkeeper,12656.0,0.0,7.0,0.0,0.0,7.0
1065,4351,Ryan Bennett,Defender,8967.0,0.0,2.0,3.0,2.0,7.0
752,4726,David Marshall,Goalkeeper,4770.0,0.0,6.0,0.0,1.0,7.0
943,3157,Danny Simpson,Defender,17808.0,1.0,2.0,4.0,0.0,7.0
1063,3702,Andy Wilkinson,Defender,9076.0,2.0,2.0,2.0,1.0,7.0
711,851,Shay Given,Goalkeeper,12048.0,0.0,5.0,0.0,2.0,7.0
1085,49884,Issa Diop,Defender,8077.0,0.0,2.0,3.0,2.0,7.0
1845,4084,Jason David Ian Puncheon,Midfielder,14749.0,1.0,6.0,0.0,0.0,7.0
1088,2435,Steven Reid,Defender,7714.0,0.0,2.0,4.0,1.0,7.0
1091,3623,Sam Ricketts,Defender,7878.0,2.0,0.0,3.0,2.0,7.0
