PlayerID,PlayerName,PlayerShortName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
1359,Chris Kirkland,Kirkland,Goalkeeper,9230,0,6,1,0,7
4835,Jordi Amat,Amat,Defender,3703,0,5,2,0,7
6058,Nicolás Otamendi,Otamendi,Defender,11177,0,5,1,1,7
3623,Sam Ricketts,Ricketts,Defender,7878,2,0,3,2,7
1515,Paul Konchesky,Konchesky,Defender,12115,3,2,2,0,7
3644,Martin Kelly,Kelly,Defender,11808,0,5,0,2,7
3702,Andy Wilkinson,Wilkinson,Defender,9076,2,2,2,1,7
4721,Leandro Bacuna,Bacuna,Midfielder,6547,0,5,2,0,7
1494,Ashley Cole,Cole,Defender,17860,2,3,2,0,7
4796,Mamadou Sakho,Sakho,Defender,10663,1,3,3,0,7
3796,Thomas Vermaelen,Vermaelen,Defender,8746,1,2,2,2,7
5668,Miguel Britos,Britos,Defender,5342,3,3,1,0,7
1694,Ian Evatt,Evatt,Defender,3215,1,2,2,2,7
4766,Mile Jedinak,Jedinak,Midfielder,7089,1,3,3,0,7
3861,Nemanja Matic,Matic,Midfielder,19270,3,1,3,0,7
3193,Ibrahima Sonko,Sonko,Defender,2761,1,0,6,0,7
4573,Alex McCarthy,McCarthy,Goalkeeper,12656,0,7,0,0,7
8143,James Tarkowski,Tarkowski,Defender,16200,0,4,2,1,7
3821,Steven Nzonzi,Nzonzi,Midfielder,16469,3,1,3,0,7
4546,Mathieu Debuchy,Debuchy,Defender,4630,2,1,3,1,7
20745,Romain Saïss,Saiss,Midfielder,8966,1,2,4,0,7
3280,John Pantsil,Pantsil,Defender,7209,0,3,0,4,7
3157,Danny Simpson,Simpson,Defender,17808,1,2,4,0,7
4916,Toby Alderweireld,Alderweireld,Defender,17579,0,1,2,3,6
2933,Tom Heaton,Heaton,Goalkeeper,10381,0,3,1,2,6
4158,Robbie Brady,Brady,Midfielder,9846,1,3,2,0,6
2518,Jonathan Spector,Spector,Defender,4946,0,3,2,1,6
2976,Danny Collins,Collins,Defender,10542,0,1,3,2,6
3137,Lucas Leiva,Leiva,Midfielder,17328,1,2,2,1,6
3136,Javier Mascherano,Mascherano,Defender,7305,3,2,1,0,6
3563,Carlos Cuellar,Cuellar,Defender,10360,1,2,1,2,6
2485,Richard Stearman,Stearman,Defender,6027,1,2,2,1,6
9595,Michail Antonio,Antonio,Forward,14686,2,2,2,0,6
3082,Abdoulaye Méité,Meite,Defender,4101,0,4,1,1,6
2323,Steven Taylor,Taylor,Defender,11505,2,0,3,1,6
2309,Ross Turnbull,Turnbull,Goalkeeper,2835,0,5,0,1,6
15715,José Sá,Sa,Goalkeeper,3285,0,2,3,1,6
4785,Allan McGregor,McGregor,Goalkeeper,4567,2,2,2,0,6
3569,Gaël Givet,Givet,Defender,8126,2,1,2,1,6
7548,Vicente Guaita,Guaita,Goalkeeper,10890,0,3,2,1,6
4620,Calum Chambers,Chambers,Defender,12086,1,1,3,1,6
2925,Micah Richards,Richards,Defender,12872,0,1,4,1,6
3349,Grétar Steinsson,Steinsson,Defender,10765,1,1,3,1,6
3360,Branislav Ivanovic,Ivanovic,Defender,22257,2,2,2,0,6
3991,Ronald Zubar,Zubar,Defender,4482,1,1,2,2,6
4319,Costel Pantilimon,Pantilimon,Goalkeeper,4761,0,4,1,1,6
12444,Jonas Lössl,Lossl,Goalkeeper,6377,0,5,0,1,6
5758,Lucas Digne,Digne,Defender,11125,2,0,1,3,6
3989,Christophe Berra,Berra,Defender,8323,1,3,2,0,6
10458,Andrew Robertson,Robertson,Defender,18463,1,2,3,0,6
3348,Ádám Bogdán,Bogdan,Goalkeeper,2301,0,5,1,0,6
5334,Eliaquim Mangala,Mangala,Defender,4817,1,2,1,2,6
3488,Craig Gordon,Gordon,Goalkeeper,7897,0,5,0,1,6
4252,Alex Oxlade-Chamberlain,Oxlade-Chamberlain,Midfielder,10381,0,4,1,1,6
2217,Michael Turner,Turner,Defender,13917,2,1,3,0,6
5272,Pierre-Emile Højbjerg,Hojbjerg,Midfielder,15102,2,2,2,0,6
5175,Kurt Zouma,Zouma,Defender,14758,1,2,1,2,6
4246,Per Mertesacker,Mertesacker,Defender,13609,2,3,1,0,6
4612,Jack Stephens,Stephens,Defender,9948,2,1,3,0,6
4477,Santi Cazorla,Cazorla,Midfielder,10808,1,4,1,0,6
1505,Jlloyd Samuel,Samuel,Defender,5661,1,1,2,2,6
2058,Carlton Cole,Cole,Forward,11646,3,1,1,1,6
2007,Steve Sidwell,Sidwell,Midfielder,10677,2,3,1,0,6
1717,John O'Shea,O'Shea,Defender,21571,1,0,3,2,6
557,Sol Campbell,Campbell,Defender,6986,0,3,1,2,6
2047,Jonathan Walters,Walters,Forward,16706,1,1,2,2,6
921,Phil Neville,Neville,Midfielder,14710,1,1,2,2,6
26151,Joachim Andersen,Andersen,Defender,5645,1,2,2,1,6
2054,William Gallas,Gallas,Defender,12324,0,3,2,1,6
9117,Ben Gibson,Gibson,Defender,5978,1,1,3,0,5
1391,Rory Delap,Delap,Midfielder,10241,1,1,2,1,5
3186,Nicky Shorey,Shorey,Defender,11663,0,3,1,1,5
3030,Leighton Baines,Baines,Defender,29200,0,1,2,2,5
4349,Russell Martin,Martin,Defender,10853,1,2,1,1,5
3751,Youssouf Mulumbu,Mulumbu,Midfielder,12791,4,0,1,0,5
4797,Aly Cissokho,Cissokho,Defender,4823,1,0,3,1,5
3744,Chris Brunt,Brunt,Midfielder,21216,0,2,3,0,5
2584,Keith Andrews,Andrews,Midfielder,5506,0,1,4,0,5
3175,Andy Carroll,Carroll,Forward,13827,2,2,1,0,5
4341,Yohan Cabaye,Cabaye,Midfielder,13691,0,4,1,0,5
9960,Alfie Mawson,Mawson,Defender,6980,0,2,1,2,5
4487,Matthew Lowton,Lowton,Defender,19328,1,2,2,0,5
13823,Abdoulaye Doucouré,Doucoure,Midfielder,15902,0,1,2,2,5
1943,Darren Fletcher,Fletcher,Midfielder,19531,1,3,1,0,5
3664,Rafael,Rafael,Defender,8182,2,0,3,0,5
1982,Kieran Richardson,Richardson,Defender,15915,2,2,1,0,5
1881,Tony Hibbert,Hibbert,Defender,9737,1,0,2,2,5
4696,Joel Robles,Robles,Goalkeeper,4457,0,4,1,0,5
3154,Daniel Sturridge,Sturridge,Forward,11333,1,2,2,0,5
3712,Jordan Henderson,Henderson,Midfielder,30144,2,2,1,0,5
1426,Danny Higginbotham,Higginbotham,Defender,7401,0,1,3,1,5
1361,George Boateng,Boateng,Midfielder,6523,2,2,1,0,5
3394,Brede Hangeland,Hangeland,Defender,20992,1,1,1,2,5
2997,Curtis Davies,Davies,Defender,11548,0,3,1,1,5
4615,Morgan Schneiderlin,Schneiderlin,Midfielder,15402,3,1,1,0,5
4474,Héctor Bellerín,Bellerin,Defender,15136,0,1,3,1,5
4489,Ashley Westwood,Westwood,Midfielder,23743,0,2,2,1,5
3869,Shkodran Mustafi,Mustafi,Defender,8414,0,3,2,0,5
2837,Alexandre Song,Song,Midfielder,13267,1,0,3,1,5
1111,Rio Ferdinand,Ferdinand,Defender,14991,0,2,3,0,5
2845,Emmanuel Adebayor,Adebayor,Forward,14938,2,2,0,1,5
51775,Mohammed Salisu,Salisu,Defender,3814,1,2,1,1,5
11341,Rui Patrício,Patricio,Goalkeeper,10078,0,5,0,0,5
2070,Edwin van der Sar,Sar,Goalkeeper,10338,0,5,0,0,5
2064,Wayne Rooney,Rooney,Forward,25810,2,1,1,1,5
2886,Ryan Bertrand,Bertrand,Defender,22728,2,1,2,0,5
3929,Joel Ward,Ward,Defender,22116,0,3,1,1,5
3833,Brian Jensen,Jensen,Goalkeeper,3345,0,3,2,0,5
4549,Moussa Sissoko,Sissoko,Midfielder,22242,2,1,2,0,5
2916,Daniel Agger,Agger,Defender,11531,1,1,2,1,5
2681,Wayne Routledge,Routledge,Midfielder,14148,1,1,3,0,5
2018,Lucas Neill,Neill,Defender,6993,0,0,4,1,5
2664,Julian Speroni,Speroni,Goalkeeper,7795,0,5,0,0,5
4560,Alexander Tettey,Tettey,Midfielder,7692,0,4,1,0,5
50234,Gabriel Magalhães,Magalhaes,Defender,5065,2,2,1,0,5
10564,Mason Holgate,Holgate,Defender,9437,1,3,0,1,5
2980,Dean Whitehead,Whitehead,Midfielder,14814,2,2,1,0,5
1518,Scott Parker,Parker,Midfielder,15286,2,2,1,0,5
10522,DeAndre Yedlin,Yedlin,Defender,8512,1,0,2,2,5
4486,Ron Vlaar,Vlaar,Defender,6842,1,1,2,1,5
5001,Emre Can,Can,Midfielder,9019,1,3,1,0,5
3610,David Stockdale,Stockdale,Goalkeeper,3358,0,4,0,1,5
3327,Chris Herd,Herd,Midfielder,2509,1,2,2,0,5
3567,Mark Bunn,Bunn,Goalkeeper,3249,1,1,1,2,5
3388,Steven Pienaar,Pienaar,Midfielder,16414,4,0,1,0,5
3587,José Bosingwa,Bosingwa,Defender,8776,1,0,2,2,5
66378,Illan Meslier,Meslier,Goalkeeper,6535,0,3,1,1,5
25309,Juan Foyth,Foyth,Defender,956,1,2,2,0,5
